Repository,YAML File,YAML File Path,Status,Violations
GP_AF_BTP,btp.jb_ddl_adhoc_script_btp.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\btp.jb_ddl_adhoc_script_btp.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_bp_to_btp_unknown.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\jb_btp_bp_to_btp_unknown.yml,Compliant,
GP_AF_BTP,jb_btp_mat_approved_supplier_list_psot.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\jb_btp_mat_approved_supplier_list_psot.yml,Compliant,
GP_AF_BTP,jb_ddl_adhoc_script_btp_gold.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\jb_ddl_adhoc_script_btp_gold.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_ddl_adhoc_script_btp_initcap.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\jb_ddl_adhoc_script_btp_initcap.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_ddl_adhoc_script_btp_one_time_load.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\jb_ddl_adhoc_script_btp_one_time_load.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_accounting_group_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_accounting_group_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_account_type_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_account_type_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_adhoc_log_etlconfig.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_adhoc_log_etlconfig.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_adhoc_master_name_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_adhoc_master_name_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_apex_ous_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_apex_ous_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_buyer_desk_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_buyer_desk_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_commodity_ownership_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_commodity_ownership_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_commodity_tiers_type_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_commodity_tiers_type_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_fx_currency_conv_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_fx_currency_conv_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_indirect_commodity_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_indirect_commodity_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_legal_limits_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_legal_limits_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_part_number_exclusion_flag_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_part_number_exclusion_flag_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_payterms_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_payterms_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_pltier_region_overrides_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_pltier_region_overrides_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_pl_tier_ref_all.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_pl_tier_ref_all.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_po_doosan_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_po_doosan_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_region_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_region_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_spend_type_parts_stg.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_spend_type_parts_stg.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_static_fx_usd_rates_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_static_fx_usd_rates_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_vendor_classification_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_vendor_classification_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_btp_vendor_partner_ref.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_btp_vendor_partner_ref.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_ddl_adhoc_script_btp_logistic1.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_ddl_adhoc_script_btp_logistic1.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,jb_ddl_adhoc_script_btp_logistic2.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\adhoc_loads\jb_ddl_adhoc_script_btp_logistic2.yml,Non-Compliant,No interval scheduled for this job
GP_AF_BTP,btp_alpha_master_plan.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_alpha_master_plan.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_alpha_master_plan.yml"", line 20, column 15"
GP_AF_BTP,btp_bravo_master_plan.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_bravo_master_plan.yml,Compliant,
GP_AF_BTP,btp_charlie_master_plan.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_charlie_master_plan.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_charlie_master_plan.yml"", line 26, column 15"
GP_AF_BTP,btp_comm_auto_master_plan.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_comm_auto_master_plan.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_comm_auto_master_plan.yml"", line 19, column 15"
GP_AF_BTP,btp_drm_tiers_updates.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_drm_tiers_updates.yml,Compliant,
GP_AF_BTP,btp_fdl_hier_stg_plan_legacy.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_fdl_hier_stg_plan_legacy.yml,Compliant,
GP_AF_BTP,btp_foxtrot_master_plan.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_foxtrot_master_plan.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_foxtrot_master_plan.yml"", line 24, column 15"
GP_AF_BTP,btp_idm_employee_plan.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_idm_employee_plan.yml,Compliant,
GP_AF_BTP,btp_powermax_master_plan.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_powermax_master_plan.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_powermax_master_plan.yml"", line 24, column 15"
GP_AF_BTP,btp_product_hist_master_plan.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_product_hist_master_plan.yml,Compliant,
GP_AF_BTP,btp_sap_controls_master_plan.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_sap_controls_master_plan.yml,Compliant,
GP_AF_BTP,btp_sap_repairs_master_plan.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_sap_repairs_master_plan.yml,Compliant,
GP_AF_BTP,btp_scx_plan.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_scx_plan.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_scx_plan.yml"", line 30, column 15"
GP_AF_BTP,btp_sierra_master_plan.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_sierra_master_plan.yml,Compliant,
GP_AF_BTP,btp_smf_master_plan.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_smf_master_plan.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_smf_master_plan.yml"", line 19, column 15"
GP_AF_BTP,btp_ssp5r12_master_plan.yml,cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_ssp5r12_master_plan.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_BTP\dags\databricks\BTP\workflows\execution_plan\btp_ssp5r12_master_plan.yml"", line 19, column 15"
