Repository,YAML File,YAML File Path,Status,Violations
GP_AF_SAL,sal_ddl_adhoc_script_sal.yml,cloned_repos\GP_AF_SAL\dags\databricks\SAL\workflows\sal_ddl_adhoc_script_sal.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\databricks\SAL\workflows\sal_ddl_adhoc_script_sal.yml"", line 17, column 15"
GP_AF_SAL,sal_sfdc_oppty_rstatus_harmonized_csot.yaml,cloned_repos\GP_AF_SAL\dags\databricks\SAL\workflows\sal_sfdc_oppty_rstatus_harmonized_csot.yaml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\databricks\SAL\workflows\sal_sfdc_oppty_rstatus_harmonized_csot.yaml"", line 19, column 15"
GP_AF_SAL,J_sal_sap_repairs_orders_ytd_data.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\J_sal_sap_repairs_orders_ytd_data.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\J_sal_sap_repairs_orders_ytd_data.yml"", line 21, column 15"
GP_AF_SAL,sal_alpha_pdl_to_cwb_plan_EDL2.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_alpha_pdl_to_cwb_plan_EDL2.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_alpha_pdl_to_cwb_plan_EDL2.yml"", line 18, column 15"
GP_AF_SAL,sal_charlie_header_line_sot_load.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_charlie_header_line_sot_load.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_charlie_header_line_sot_load.yml"", line 15, column 15"
GP_AF_SAL,sal_customer_risk_score_kpi_oppty_stg.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_customer_risk_score_kpi_oppty_stg.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_customer_risk_score_kpi_oppty_stg.yml"", line 15, column 15"
GP_AF_SAL,sal_DigCOE_Ecomm_Details_SOT.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_DigCOE_Ecomm_Details_SOT.yml,Compliant,
GP_AF_SAL,sal_DigCOE_SFDC_Accounts_SOT.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_DigCOE_SFDC_Accounts_SOT.yml,Compliant,
GP_AF_SAL,sal_DigCOE_SFDC_CASE_Data_SOT.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_DigCOE_SFDC_CASE_Data_SOT.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_DigCOE_SFDC_CASE_Data_SOT.yml"", line 25, column 15"
GP_AF_SAL,sal_DigCOE_SFDC_e1user_SOT.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_DigCOE_SFDC_e1user_SOT.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_DigCOE_SFDC_e1user_SOT.yml"", line 25, column 15"
GP_AF_SAL,sal_DigCOE_SFDC_GIB_Data_SOT.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_DigCOE_SFDC_GIB_Data_SOT.yml,Compliant,
GP_AF_SAL,sal_DigCOE_SFDC_Meeting.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_DigCOE_SFDC_Meeting.yml,Compliant,
GP_AF_SAL,sal_DigCOE_SFDC_OpportunityFieldHistory_SOT.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_DigCOE_SFDC_OpportunityFieldHistory_SOT.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_DigCOE_SFDC_OpportunityFieldHistory_SOT.yml"", line 24, column 15"
