Repository,YAML File,YAML File Path,Status,Violations
GP_AF_SCF,scf.scf_mje_execution_plan.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf.scf_mje_execution_plan.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf.scf_mje_execution_plan.yml"", line 20, column 15"
GP_AF_SCF,scf_btp_SCF360_StdCost_Box_Ingestion_fx_rates.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_btp_SCF360_StdCost_Box_Ingestion_fx_rates.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SCF,scf_EDL_btp_scf360_open_po_details_sox_edl2.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_EDL_btp_scf360_open_po_details_sox_edl2.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SCF,scf_edl_outgestion_scf_to_gears_mysql_mje_out_EDL2.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_edl_outgestion_scf_to_gears_mysql_mje_out_EDL2.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SCF,scf_edl_outgestion_scf_to_gears_mysql_po_out_EDL2.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_edl_outgestion_scf_to_gears_mysql_po_out_EDL2.yml,Compliant,
GP_AF_SCF,scf_edl_outgestion_scf_to_gears_mysql_pr_out_EDL2.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_edl_outgestion_scf_to_gears_mysql_pr_out_EDL2.yml,Compliant,
GP_AF_SCF,scf_EDL_SCF_goods_receipt_otl_ing_aws2gp.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_EDL_SCF_goods_receipt_otl_ing_aws2gp.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SCF,scf_EDL_SCF_master_data_ing_box2gp_daily.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_EDL_SCF_master_data_ing_box2gp_daily.yml,Compliant,
GP_AF_SCF,scf_EDL_SCF_master_data_ing_box2gp_montly.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_EDL_SCF_master_data_ing_box2gp_montly.yml,Compliant,
GP_AF_SCF,scf_jb_fn_scf_capex_mje_psot.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_fn_scf_capex_mje_psot.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_fn_scf_capex_mje_psot.yml"", line 21, column 15"
GP_AF_SCF,scf_jb_fn_scf_capex_zeal_mje_psot.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_fn_scf_capex_zeal_mje_psot.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_fn_scf_capex_zeal_mje_psot.yml"", line 21, column 15"
GP_AF_SCF,scf_jb_fn_scf_gears_ap_po_linkage_psot.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_fn_scf_gears_ap_po_linkage_psot.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_fn_scf_gears_ap_po_linkage_psot.yml"", line 24, column 15"
GP_AF_SCF,scf_jb_fn_scf_gears_mje_psot.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_fn_scf_gears_mje_psot.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_fn_scf_gears_mje_psot.yml"", line 21, column 15"
GP_AF_SCF,scf_jb_scf_ageing_data_csot_ctrl.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_ageing_data_csot_ctrl.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_ageing_data_csot_ctrl.yml"", line 22, column 15"
GP_AF_SCF,scf_jb_scf_co_object_pc_and_cust_pmx_prl.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_co_object_pc_and_cust_pmx_prl.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_co_object_pc_and_cust_pmx_prl.yml"", line 22, column 15"
GP_AF_SCF,scf_jb_scf_csot_ageing_data_prl.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_csot_ageing_data_prl.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_csot_ageing_data_prl.yml"", line 22, column 15"
GP_AF_SCF,scf_jb_scf_csot_base_ageing_data_prl.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_csot_base_ageing_data_prl.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_csot_base_ageing_data_prl.yml"", line 22, column 15"
GP_AF_SCF,scf_jb_scf_csot_calculate_on_hand_reserve_prl.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_csot_calculate_on_hand_reserve_prl.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_csot_calculate_on_hand_reserve_prl.yml"", line 22, column 15"
GP_AF_SCF,scf_jb_scf_csot_calculate_production_wip_reserve_prl.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_csot_calculate_production_wip_reserve_prl.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_csot_calculate_production_wip_reserve_prl.yml"", line 22, column 15"
GP_AF_SCF,scf_jb_scf_csot_characteristics_prl.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_csot_characteristics_prl.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_csot_characteristics_prl.yml"", line 22, column 15"
GP_AF_SCF,scf_jb_scf_csot_demand_data_prl.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_csot_demand_data_prl.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_csot_demand_data_prl.yml"", line 22, column 15"
GP_AF_SCF,scf_jb_scf_csot_excess_inventory_prl.yml,cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_csot_excess_inventory_prl.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SCF\dags\talend_exit\SCF\workflows\scf_jb_scf_csot_excess_inventory_prl.yml"", line 22, column 15"
